filename,sample_time,0,1,2,3,4,5,6,7,8
clustered_1,400,3.4336,0.0591,0.22365,0.33335,0.00715,0.1988,0.00215,0.01035,0.0
clustered_1,500,2.1241,0.2011,0.31905,0.13045,0.0073,0.242,0.0014,0.00695,0.0
clustered_1,600,4.6782,0.4747,0.47415,0.204,0.0058,0.23395,0.00565,0.0059,0.0
clustered_2,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_2,100,2.75625,5.8748,0.1188,0.2234,0.17065,0.11895,0.06565,0.0198,0.0422
clustered_2,200,2.42085,1.4894,0.09915,0.2601,1.09645,0.1881,0.2111,0.02335,0.06015
clustered_2,300,3.477,0.06545,0.17915,0.3759,0.07765,0.25965,0.04195,0.0117,0.0028
clustered_2,400,3.12625,0.0,0.30755,0.1634,0.0,0.19135,0.00095,0.0066,0.0
clustered_2,500,3.4471,0.0,0.328,0.21215,0.0,0.37305,0.0,0.00375,0.0
clustered_2,600,3.46655,0.0,0.2386,0.087,0.0,0.28025,0.0,0.0017,0.0
clustered_3,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_3,100,2.53405,5.86595,0.13085,0.1959,0.16285,0.1183,0.0486,0.02045,0.04115
clustered_3,200,1.76955,2.0743,0.12275,0.1709,1.30195,0.1754,0.14335,0.02665,0.16335
clustered_3,300,6.50125,0.133,0.1869,0.36245,0.0029,0.25475,0.03455,0.0177,0.00435
clustered_3,400,2.29485,0.0,0.27915,0.1539,0.0,0.1401,0.00325,0.0095,0.0
clustered_3,500,3.5926,0.0,0.4423,0.1499,0.0,0.26135,0.0,0.0084,0.0
clustered_3,600,3.85735,0.0,0.41825,0.10065,0.0,0.35335,0.0,0.0106,0.0
clustered_4,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_4,100,2.40755,5.57665,0.11625,0.22885,0.1645,0.1186,0.05755,0.01845,0.04605
clustered_4,200,2.2405,2.2553,0.11355,0.23365,1.1848,0.1723,0.1794,0.02065,0.13155
clustered_4,300,4.64685,0.0,0.1697,0.3176,0.02685,0.3287,0.0483,0.0133,0.0
clustered_4,400,2.0346,0.0,0.25915,0.18175,0.0,0.1499,0.0,0.00785,0.0
clustered_4,500,2.8568,0.0,0.28075,0.2211,0.0,0.36725,0.0,0.0059,0.0
clustered_4,600,2.44855,0.0,0.3203,0.1492,0.0,0.15325,0.0,0.0057,0.0
clustered_5,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_5,100,2.58345,5.87515,0.1219,0.21425,0.1551,0.1165,0.06285,0.01945,0.04455
clustered_5,200,2.45755,1.94995,0.0933,0.2031,1.06215,0.1349,0.18685,0.0214,0.1235
clustered_5,300,2.4653,0.42695,0.12575,0.34975,0.06465,0.19175,0.06085,0.01275,0.00725
clustered_5,400,3.4498,0.0,0.29875,0.2741,0.00665,0.1318,0.0166,0.00735,0.0
clustered_5,500,3.1806,0.0,0.4205,0.16915,0.0,0.2455,0.0,0.0062,0.0
clustered_5,600,2.94815,0.0,0.4556,0.1352,0.0,0.3276,0.0,0.0066,0.0
clustered_6,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_6,100,2.3506,5.9782,0.1209,0.24365,0.1683,0.12495,0.0538,0.01955,0.04775
clustered_6,200,1.9148,3.08255,0.121,0.13785,0.86185,0.0977,0.1718,0.02285,0.1975
clustered_6,300,3.4336,0.0,0.20025,0.50835,0.0038,0.21655,0.046,0.01435,0.0
clustered_6,400,3.5347,0.0,0.3759,0.21045,0.0,0.08115,0.0,0.0072,0.0
clustered_6,500,2.25315,0.0,0.60955,0.24335,0.0,0.29765,0.0,0.00815,0.0
clustered_6,600,3.47025,0.0,0.6543,0.14115,0.0,0.23095,0.0,0.0102,0.0
clustered_7,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_7,100,2.4598,5.72175,0.11515,0.2377,0.15285,0.113,0.06335,0.01905,0.03575
clustered_7,200,2.1169,2.466,0.1158,0.20945,1.32615,0.1427,0.1871,0.02255,0.1091
clustered_7,300,5.02425,0.20655,0.22325,0.2952,0.03405,0.28175,0.0485,0.012,0.0036
clustered_7,400,2.4535,0.0,0.3927,0.1429,0.0,0.2494,0.0061,0.00815,0.0
clustered_7,500,3.8192,0.0,0.3943,0.1423,0.0,0.45285,0.0,0.0059,0.0
clustered_7,600,2.58745,0.0,0.07535,0.0815,0.0,0.27285,0.0,0.0054,0.0
clustered_8,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_8,100,2.59855,6.03815,0.11245,0.2383,0.17785,0.11945,0.0525,0.0201,0.03655
clustered_8,200,2.06625,2.1083,0.0849,0.1681,1.33255,0.16335,0.16825,0.02435,0.1404
clustered_8,300,3.82365,0.30705,0.1246,0.41865,0.07295,0.2291,0.0441,0.0134,0.0152
clustered_8,400,2.85435,0.0,0.2523,0.2225,0.0,0.17975,0.0062,0.007,0.0
clustered_8,500,2.95765,0.0,0.37485,0.14125,0.0,0.30985,0.0,0.00535,0.0
clustered_8,600,3.83205,0.0,0.26505,0.17405,0.0,0.3454,0.0,0.0055,0.0
clustered_9,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_9,100,2.6934,5.9148,0.12105,0.25945,0.16385,0.12715,0.0574,0.01875,0.0389
clustered_9,200,2.34435,2.75045,0.11055,0.1493,1.213,0.1466,0.166,0.02135,0.09425
clustered_9,300,3.84995,0.0,0.16955,0.419,0.0158,0.2639,0.06285,0.0138,0.0003
clustered_9,400,2.99145,0.0,0.2512,0.1867,0.0,0.1843,0.0,0.00635,0.0
clustered_9,500,3.9043,0.0,0.29235,0.23255,0.0,0.4251,0.0,0.0034,0.0
clustered_9,600,2.15275,0.0,0.0822,0.1166,0.0,0.18995,0.0,0.002,0.0
clustered_10,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_10,100,2.4457,6.05845,0.12635,0.2307,0.13445,0.1236,0.0576,0.01955,0.0414
clustered_10,200,2.12015,2.77955,0.09995,0.16065,1.0721,0.1733,0.1798,0.0232,0.17185
clustered_10,300,4.49155,0.0,0.14,0.33485,0.01095,0.26425,0.05875,0.01605,0.0
clustered_10,400,2.465,0.0,0.1352,0.1648,0.0,0.21545,0.0,0.00995,0.0
clustered_10,500,3.1724,0.0,0.17125,0.1975,0.0,0.2603,0.0,0.0039,0.0
clustered_10,600,2.5717,0.0,0.37915,0.10985,0.0,0.24605,0.0,0.0035,0.0
clustered_11,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_11,100,2.64345,5.7085,0.1185,0.208,0.1784,0.10245,0.05735,0.0208,0.04115
clustered_11,200,1.77825,2.98675,0.1147,0.17895,1.16315,0.14675,0.15635,0.0235,0.1261
clustered_11,300,4.46675,0.4687,0.14895,0.31775,0.05605,0.2526,0.0439,0.0126,0.00205
clustered_11,400,2.4162,0.0,0.2235,0.22135,0.0,0.22695,0.05525,0.0085,0.00025
clustered_11,500,3.25455,0.0,0.32445,0.25905,0.0,0.1847,0.0,0.007,0.0
