filename,r,sample_time,sample_id,shannon,simpson
random_1,3,100,11,0.3250829733914482,0.17999999999999994
random_1,3,100,12,0.6931471805599453,0.5
random_1,3,100,13,0.0,0.0
random_1,3,100,14,1.0549201679861442,0.6399999999999999
random_1,3,100,15,0.48509409130221154,0.23999999999999988
random_1,4,100,0,0.6037974141151747,0.3182441700960219
random_1,4,100,1,0.4147428286177175,0.24859504132231414
random_1,4,100,2,1.0236023679342725,0.5761245674740485
random_1,4,100,3,0.4623111986855952,0.23434560601988708
random_1,4,100,4,1.1059289996142598,0.6200274348422496
random_1,4,100,5,0.6145033203107283,0.4234404536862004
random_1,4,100,6,-0.0,0.0
random_1,4,100,7,0.45056120886630463,0.2777777777777777
random_1,4,100,8,0.3068291534409705,0.13520408163265296
random_1,4,100,9,0.6870920273799715,0.37869822485207094
random_1,4,100,10,0.3250829733914482,0.17999999999999994
random_1,4,100,11,0.2711893730418441,0.14201183431952646
random_1,4,100,12,0.6365141682948128,0.4444444444444444
random_1,4,100,13,0.0,0.0
random_1,4,100,14,1.240684291953396,0.6776859504132232
random_1,4,100,15,0.6004829082458254,0.3327999999999999
random_1,5,100,0,0.6327150711697842,0.3387499999999999
random_1,5,100,1,0.41318818529793044,0.24735084917985195
random_1,5,100,2,0.9561871439560887,0.5135275754422477
random_1,5,100,3,0.5228773373477204,0.2757287328970851
random_1,5,100,4,1.1083198516994868,0.631117604090577
random_1,5,100,5,0.8293571847898716,0.5103806228373702
random_1,5,100,6,0.6931471805599453,0.5
random_1,5,100,7,0.6116510623019807,0.3587499999999999
random_1,5,100,8,0.4699417218422371,0.21308815575987017
random_1,5,100,9,0.6019239717322895,0.3203125
random_1,5,100,10,0.362210557135449,0.20761245674740492
random_1,5,100,11,0.24493002679463532,0.12444444444444436
random_1,5,100,12,0.6365141682948128,0.4444444444444444
random_1,5,100,13,0.0,0.0
random_1,5,100,14,1.240684291953396,0.6776859504132232
random_1,5,100,15,0.8239592165010823,0.48611111111111116
random_1,1,200,0,-0.0,0.0
random_1,1,200,1,0.0,0.0
random_1,1,200,2,-0.0,0.0
random_1,1,200,3,-0.0,0.0
random_1,1,200,4,0.0,0.0
random_1,1,200,5,-0.0,0.0
random_1,1,200,6,0.6869615765973234,0.49382716049382713
random_1,1,200,7,0.5982695885852573,0.40816326530612246
random_1,1,200,8,-0.0,0.0
random_1,1,200,9,-0.0,0.0
random_1,1,200,10,-0.0,0.0
random_1,1,200,11,0.0,0.0
random_1,1,200,12,0.0,0.0
random_1,1,200,13,-0.0,0.0
random_1,1,200,14,0.0,0.0
random_1,1,200,15,-0.0,0.0
random_1,2,200,0,-0.0,0.0
random_1,2,200,1,0.0,0.0
random_1,2,200,2,-0.0,0.0
random_1,2,200,3,-0.0,0.0
random_1,2,200,4,0.0,0.0
random_1,2,200,5,-0.0,0.0
random_1,2,200,6,0.8647400965276372,0.5390625
random_1,2,200,7,0.45056120886630463,0.2777777777777777
random_1,2,200,8,-0.0,0.0
random_1,2,200,9,-0.0,0.0
random_1,2,200,10,-0.0,0.0
random_1,2,200,11,-0.0,0.0
random_1,2,200,12,-0.0,0.0
random_1,2,200,13,-0.0,0.0
random_1,2,200,14,0.0,0.0
random_1,2,200,15,-0.0,0.0
random_1,3,200,0,-0.0,0.0
random_1,3,200,1,0.0,0.0
random_1,3,200,2,-0.0,0.0
random_1,3,200,3,-0.0,0.0
random_1,3,200,4,-0.0,0.0
random_1,3,200,5,-0.0,0.0
random_1,3,200,6,0.8569977547780644,0.5429362880886428
