filename,r,type_id,0,1,2,3,4,5,6,7,8
random_2,2,5,0.25674,0.46595,0.22954,0.40982,0.44148,0.0,0.50526,0.77733,0.0
random_2,2,6,0.43067,0.65624,0.43062,0.69614,0.64042,0.50526,0.0,1.0,0.0
random_2,2,7,0.60836,0.72865,0.66667,0.6413,0.79876,0.77733,1.0,0.0,0.0
random_2,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,3,0,0.0,0.31474,0.2018,0.23687,0.39953,0.21666,0.39901,0.4409,0.41814
random_2,3,1,0.31474,0.0,0.29589,0.40033,0.43405,0.3236,0.44679,0.5859,0.65357
random_2,3,2,0.2018,0.29589,0.0,0.29814,0.44775,0.22031,0.36003,0.47189,0.48325
random_2,3,3,0.23687,0.40033,0.29814,0.0,0.29648,0.24067,0.49113,0.38152,0.55864
random_2,3,4,0.39953,0.43405,0.44775,0.29648,0.0,0.42185,0.60887,0.59667,0.85942
random_2,3,5,0.21666,0.3236,0.22031,0.24067,0.42185,0.0,0.39069,0.40508,0.60085
random_2,3,6,0.39901,0.44679,0.36003,0.49113,0.60887,0.39069,0.0,0.75974,0.83571
random_2,3,7,0.4409,0.5859,0.47189,0.38152,0.59667,0.40508,0.75974,0.0,1.0
random_2,3,8,0.41814,0.65357,0.48325,0.55864,0.85942,0.60085,0.83571,1.0,0.0
random_2,4,0,0.0,0.4258,0.28538,0.3357,0.524,0.22291,0.52936,0.52753,0.53595
random_2,4,1,0.4258,0.0,0.41735,0.54038,0.59094,0.37688,0.69127,0.67808,0.67299
random_2,4,2,0.28538,0.41735,0.0,0.37728,0.54723,0.25915,0.56085,0.49941,0.52712
random_2,4,3,0.3357,0.54038,0.37728,0.0,0.38855,0.3544,0.70766,0.38407,0.79378
random_2,4,4,0.524,0.59094,0.54723,0.38855,0.0,0.50183,0.75263,0.66707,0.91828
random_2,4,5,0.22291,0.37688,0.25915,0.3544,0.50183,0.0,0.45924,0.53063,0.64703
random_2,4,6,0.52936,0.69127,0.56085,0.70766,0.75263,0.45924,0.0,0.99689,0.99684
random_2,4,7,0.52753,0.67808,0.49941,0.38407,0.66707,0.53063,0.99689,0.0,1.0
random_2,4,8,0.53595,0.67299,0.52712,0.79378,0.91828,0.64703,0.99684,1.0,0.0
random_2,5,0,0.0,0.41194,0.28743,0.31575,0.44982,0.21739,0.55531,0.52049,0.54573
random_2,5,1,0.41194,0.0,0.41739,0.52294,0.50398,0.36076,0.67091,0.67738,0.77934
random_2,5,2,0.28743,0.41739,0.0,0.33578,0.5063,0.28898,0.5796,0.4933,0.54386
random_2,5,3,0.31575,0.52294,0.33578,0.0,0.34123,0.29561,0.70813,0.39504,0.77213
random_2,5,4,0.44982,0.50398,0.5063,0.34123,0.0,0.39879,0.67208,0.61607,0.79592
random_2,5,5,0.21739,0.36076,0.28898,0.29561,0.39879,0.0,0.42703,0.50362,0.61389
random_2,5,6,0.55531,0.67091,0.5796,0.70813,0.67208,0.42703,0.0,0.98996,0.90073
