filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
clustered_11,300,4,3,54,0,0,3,0,1,0,0,0
clustered_11,300,4,4,17,0,0,0,0,18,0,0,0
clustered_11,300,4,5,0,0,0,0,0,0,0,0,0
clustered_11,300,4,6,0,0,0,0,0,0,0,0,0
clustered_11,300,4,7,11,0,0,0,0,3,0,0,0
clustered_11,300,4,8,0,0,0,0,0,0,0,0,0
clustered_11,300,4,9,2,0,0,0,0,1,0,0,0
clustered_11,300,4,10,34,0,6,11,0,0,0,0,0
clustered_11,300,4,11,0,0,0,0,0,0,0,0,0
clustered_11,300,4,12,4,0,1,0,0,0,1,0,0
clustered_11,300,4,13,11,0,2,0,0,0,0,0,0
clustered_11,300,4,14,0,0,0,0,0,0,0,0,0
clustered_11,300,4,15,89,0,0,0,0,2,0,0,0
clustered_11,300,5,0,33,0,0,0,20,0,11,0,0
clustered_11,300,5,1,50,0,0,0,0,1,0,0,0
clustered_11,300,5,2,0,0,0,0,0,1,0,0,0
clustered_11,300,5,3,84,0,2,4,0,1,0,0,0
clustered_11,300,5,4,18,0,0,0,0,25,0,0,0
clustered_11,300,5,5,0,0,1,0,0,0,0,0,0
clustered_11,300,5,6,1,0,0,0,0,0,0,0,0
clustered_11,300,5,7,24,0,0,0,0,6,0,0,0
clustered_11,300,5,8,0,0,0,0,0,0,0,0,0
clustered_11,300,5,9,8,0,0,0,0,2,0,0,0
clustered_11,300,5,10,51,0,8,18,0,0,0,0,0
clustered_11,300,5,11,0,0,1,0,0,0,0,0,0
clustered_11,300,5,12,9,0,1,0,0,0,2,0,0
clustered_11,300,5,13,13,0,2,0,0,0,0,0,0
clustered_11,300,5,14,0,0,0,0,0,0,0,0,0
clustered_11,300,5,15,129,0,0,0,0,3,0,0,0
clustered_11,400,1,0,0,0,0,0,0,0,0,0,0
clustered_11,400,1,1,0,0,0,0,0,0,0,0,0
clustered_11,400,1,2,2,0,0,0,0,0,0,0,0
clustered_11,400,1,3,0,0,0,0,0,0,0,0,0
clustered_11,400,1,4,0,0,0,0,0,0,0,0,0
clustered_11,400,1,5,4,0,0,0,0,0,0,0,0
clustered_11,400,1,6,2,0,0,3,0,0,0,0,0
clustered_11,400,1,7,0,0,0,0,0,0,0,0,0
