filename,r,sample_time,shannon,simpson
clustered_20,3,500,1.23014,0.66931
clustered_20,3,600,0.69545,0.33515
clustered_20,4,0,1.50601,0.71644
clustered_20,4,100,1.0226,0.55148
clustered_20,4,200,1.63212,0.74993
clustered_20,4,300,0.86634,0.41872
clustered_20,4,400,0.84224,0.41726
clustered_20,4,500,1.14784,0.61935
clustered_20,4,600,0.65632,0.31577
clustered_20,5,0,1.47393,0.70925
clustered_20,5,100,1.02675,0.54879
clustered_20,5,200,1.60184,0.74358
clustered_20,5,300,0.84479,0.41057
clustered_20,5,400,0.84444,0.41466
clustered_20,5,500,1.13726,0.60689
clustered_20,5,600,0.63709,0.30829
clustered_3,1,0,1.06086,0.64198
clustered_3,1,100,0.99028,0.57901
clustered_3,1,200,1.74903,0.79058
clustered_3,1,300,0.51584,0.26923
clustered_3,1,400,0.81907,0.47924
clustered_3,1,500,0.48887,0.26371
clustered_3,1,600,0.45975,0.2407
clustered_3,2,0,1.12209,0.63138
clustered_3,2,100,1.02764,0.58186
clustered_3,2,200,1.60346,0.75545
clustered_3,2,300,0.43655,0.21419
clustered_3,2,400,0.76216,0.39827
clustered_3,2,500,0.53626,0.26296
clustered_3,2,600,0.72288,0.38146
clustered_3,3,0,1.22432,0.66535
clustered_3,3,100,1.0169,0.57461
clustered_3,3,200,1.57346,0.74863
clustered_3,3,300,0.37685,0.16747
clustered_3,3,400,0.75696,0.39425
clustered_3,3,500,0.63444,0.30883
clustered_3,3,600,0.65693,0.34481
clustered_3,4,0,1.50601,0.71644
clustered_3,4,100,1.03156,0.57561
clustered_3,4,200,1.51895,0.73253
clustered_3,4,300,0.43532,0.18977
clustered_3,4,400,0.83055,0.42079
clustered_3,4,500,0.60478,0.28815
clustered_3,4,600,0.57915,0.29891
clustered_3,5,0,1.47393,0.70925
clustered_3,5,100,1.00628,0.56743
clustered_3,5,200,1.50625,0.72671
clustered_3,5,300,0.47793,0.20399
clustered_3,5,400,0.83299,0.42617
clustered_3,5,500,0.61147,0.29831
clustered_3,5,600,0.58912,0.30101
clustered_4,1,0,1.06086,0.64198
clustered_4,1,100,0.90554,0.54956
clustered_4,1,200,1.24994,0.57031
clustered_4,1,300,0.68334,0.32894
clustered_4,1,400,0.67498,0.39236
clustered_4,1,500,0.65219,0.33755
clustered_4,1,600,0.89605,0.52479
clustered_4,2,0,1.12209,0.63138
clustered_4,2,100,0.94476,0.54161
clustered_4,2,200,1.1904,0.53317
clustered_4,2,300,0.63654,0.28169
clustered_4,2,400,0.57169,0.29263
clustered_4,2,500,0.55298,0.28357
clustered_4,2,600,1.0944,0.58747
clustered_4,3,0,1.22432,0.66535
clustered_4,3,100,0.93668,0.53961
clustered_4,3,200,1.18649,0.54643
clustered_4,3,300,0.61202,0.26856
clustered_4,3,400,0.77592,0.39609
clustered_4,3,500,0.63127,0.29776
clustered_4,3,600,0.86176,0.44246
clustered_4,4,0,1.50601,0.71644
clustered_4,4,100,0.98622,0.56443
clustered_4,4,200,1.19484,0.55101
clustered_4,4,300,0.60685,0.2688
clustered_4,4,400,0.77162,0.39246
clustered_4,4,500,0.66753,0.32107
clustered_4,4,600,0.91565,0.476
clustered_4,5,0,1.47393,0.70925
clustered_4,5,100,0.98589,0.56518
clustered_4,5,200,1.20865,0.55044
clustered_4,5,300,0.63914,0.27953
clustered_4,5,400,0.87457,0.45232
clustered_4,5,500,0.61221,0.29104
clustered_4,5,600,0.96515,0.50056
clustered_5,1,0,1.06086,0.64198
clustered_5,1,100,1.03442,0.57914
clustered_5,1,200,1.48439,0.73567
clustered_5,1,300,1.22399,0.63591
clustered_5,1,400,1.00621,0.53287
clustered_5,1,500,0.77485,0.39273
clustered_5,1,600,1.11435,0.59343
clustered_5,2,0,1.12209,0.63138
clustered_5,2,100,0.97743,0.55598
clustered_5,2,200,1.62699,0.75342
clustered_5,2,300,1.31256,0.64514
clustered_5,2,400,1.09666,0.52447
clustered_5,2,500,0.9465,0.47815
clustered_5,2,600,1.08052,0.57349
clustered_5,3,0,1.22432,0.66535
