filename,r,sample_time,sample_id,shannon,simpson
clustered_1,5,400,3,0.27119,0.14201
clustered_1,5,400,4,0.63891,0.31122
clustered_1,5,400,5,0.07665,0.02898
clustered_1,5,400,6,0.16302,0.07396
clustered_1,5,400,7,0.16794,0.0768
clustered_1,5,400,8,-0.0,0.0
clustered_1,5,400,9,0.0,0.0
clustered_1,5,400,10,0.0,0.0
clustered_1,5,400,11,0.41763,0.20984
clustered_1,5,500,0,-0.0,0.0
clustered_1,5,500,1,-0.0,0.0
clustered_1,5,500,2,0.0,0.0
clustered_1,5,500,3,0.0,0.0
clustered_1,5,500,4,-0.0,0.0
clustered_1,5,500,5,-0.0,0.0
clustered_1,5,500,6,0.63651,0.44444
clustered_1,5,500,7,-0.0,0.0
clustered_1,5,500,8,0.69315,0.5
clustered_1,5,500,9,0.91646,0.56198
clustered_1,5,500,10,-0.0,0.0
clustered_1,5,500,11,-0.0,0.0
clustered_1,5,600,0,-0.0,0.0
clustered_1,5,600,1,0.41875,0.25181
clustered_1,5,600,2,-0.0,0.0
clustered_1,5,600,3,0.1819,0.07316
clustered_1,5,600,4,-0.0,0.0
clustered_1,5,600,5,0.85911,0.47213
clustered_1,5,600,6,0.54628,0.28541
clustered_1,5,600,7,1.0101,0.60355
clustered_1,5,600,8,0.51958,0.33673
clustered_1,5,600,9,0.35169,0.16112
clustered_1,5,600,10,0.71853,0.40671
clustered_1,5,600,11,0.04629,0.01575
clustered_10,1,0,0,0.0,0.0
clustered_10,1,0,1,0.0,0.0
clustered_10,1,0,2,0.0,0.0
clustered_10,1,0,3,0.0,0.0
clustered_10,1,0,4,0.0,0.0
clustered_10,1,0,5,0.0,0.0
clustered_10,1,0,6,-0.0,0.0
clustered_10,1,0,7,0.0,0.0
clustered_10,1,0,8,0.0,0.0
clustered_10,1,0,9,-0.0,0.0
clustered_10,1,0,10,-0.0,0.0
clustered_10,1,0,11,0.0,0.0
clustered_10,1,100,0,0.0,0.0
clustered_10,1,100,1,-0.0,0.0
clustered_10,1,100,2,0.0,0.0
clustered_10,1,100,3,0.0,0.0
clustered_10,1,100,4,0.0,0.0
clustered_10,1,100,5,0.69315,0.5
clustered_10,1,100,6,0.0,0.0
clustered_10,1,100,7,-0.0,0.0
clustered_10,1,100,8,-0.0,0.0
clustered_10,1,100,9,-0.0,0.0
clustered_10,1,100,10,-0.0,0.0
clustered_10,1,100,11,-0.0,0.0
clustered_10,1,200,0,0.77746,0.46094
clustered_10,1,200,1,-0.0,0.0
clustered_10,1,200,2,-0.0,0.0
clustered_10,1,200,3,-0.0,0.0
clustered_10,1,200,4,0.86756,0.5
