filename,r,type_id,0,1,2,3,4,5,6,7,8
random_4,4,3,0.11693,0.06564,0.16911,0.0,0.16376,0.10568,0.34562,0.26129,0.36636
random_4,4,4,0.12105,0.15411,0.14169,0.16376,0.0,0.15887,0.39474,0.34008,0.44737
random_4,4,5,0.11429,0.10711,0.15107,0.10568,0.15887,0.0,0.32407,0.31624,0.38889
random_4,4,6,0.39099,0.35714,0.32999,0.34562,0.39474,0.32407,0.0,0.4,1.0
random_4,4,7,0.34656,0.28333,0.28882,0.26129,0.34008,0.31624,0.4,0.0,0.8
random_4,4,8,0.3561,0.32143,0.34231,0.36636,0.44737,0.38889,1.0,0.8,0.0
random_4,5,0,0.0,0.1609,0.25613,0.20692,0.17927,0.21772,0.66106,0.52397,0.58613
random_4,5,1,0.1609,0.0,0.25256,0.11545,0.18969,0.20216,0.61622,0.41017,0.48649
random_4,5,2,0.25613,0.25256,0.0,0.32345,0.29503,0.29708,0.5678,0.45613,0.43768
random_4,5,3,0.20692,0.11545,0.32345,0.0,0.21186,0.15661,0.6,0.34636,0.49728
random_4,5,4,0.17927,0.18969,0.29503,0.21186,0.0,0.23319,0.63265,0.42857,0.54286
random_4,5,5,0.21772,0.20216,0.29708,0.15661,0.23319,0.0,0.46869,0.35172,0.5526
random_4,5,6,0.66106,0.61622,0.5678,0.6,0.63265,0.46869,0.0,0.58929,1.0
random_4,5,7,0.52397,0.41017,0.45613,0.34636,0.42857,0.35172,0.58929,0.0,0.69841
random_4,5,8,0.58613,0.48649,0.43768,0.49728,0.54286,0.5526,1.0,0.69841,0.0
random_5,1,0,0.0,0.56073,0.31763,0.4093,0.4767,0.4098,0.0,0.0,0.0
random_5,1,1,0.56073,0.0,0.82833,0.80287,0.72581,1.0,0.0,0.0,0.0
random_5,1,2,0.31763,0.82833,0.0,0.29376,0.60894,0.60611,0.0,0.0,0.0
random_5,1,3,0.4093,0.80287,0.29376,0.0,0.65472,0.60215,0.0,0.0,0.0
random_5,1,4,0.4767,0.72581,0.60894,0.65472,0.0,0.82258,0.0,0.0,0.0
random_5,1,5,0.4098,1.0,0.60611,0.60215,0.82258,0.0,0.0,0.0,0.0
random_5,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_5,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_5,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_5,2,0,0.0,0.31322,0.20023,0.21074,0.37738,0.17582,0.5607,0.0,0.0
random_5,2,1,0.31322,0.0,0.42716,0.4355,0.34615,0.34272,0.51538,0.0,0.0
random_5,2,2,0.20023,0.42716,0.0,0.13189,0.48178,0.28654,0.59593,0.0,0.0
random_5,2,3,0.21074,0.4355,0.13189,0.0,0.4697,0.34609,0.625,0.0,0.0
random_5,2,4,0.37738,0.34615,0.48178,0.4697,0.0,0.41883,1.0,0.0,0.0
random_5,2,5,0.17582,0.34272,0.28654,0.34609,0.41883,0.0,0.625,0.0,0.0
