filename,r,sample_time,sample_id,0,1,2,3,4,5,6,7,8
clustered_11,4,300,9,0.39024,0.0,0.0,0.0,0.0,0.19512,0.0,0.0,0.0
clustered_11,4,300,10,6.63415,0.0,1.17073,2.14634,0.0,0.0,0.0,0.0,0.0
clustered_11,4,300,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,300,12,0.78049,0.0,0.19512,0.0,0.0,0.0,0.19512,0.0,0.0
clustered_11,4,300,13,2.14634,0.0,0.39024,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,300,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,300,15,17.36585,0.0,0.0,0.0,0.0,0.39024,0.0,0.0,0.0
clustered_11,5,300,0,4.32787,0.0,0.0,0.0,2.62295,0.0,1.44262,0.0,0.0
clustered_11,5,300,1,6.55738,0.0,0.0,0.0,0.0,0.13115,0.0,0.0,0.0
clustered_11,5,300,2,0.0,0.0,0.0,0.0,0.0,0.13115,0.0,0.0,0.0
clustered_11,5,300,3,11.01639,0.0,0.2623,0.52459,0.0,0.13115,0.0,0.0,0.0
clustered_11,5,300,4,2.36066,0.0,0.0,0.0,0.0,3.27869,0.0,0.0,0.0
clustered_11,5,300,5,0.0,0.0,0.13115,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,300,6,0.13115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,300,7,3.14754,0.0,0.0,0.0,0.0,0.78689,0.0,0.0,0.0
clustered_11,5,300,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,300,9,1.04918,0.0,0.0,0.0,0.0,0.2623,0.0,0.0,0.0
clustered_11,5,300,10,6.68852,0.0,1.04918,2.36066,0.0,0.0,0.0,0.0,0.0
clustered_11,5,300,11,0.0,0.0,0.13115,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,300,12,1.18033,0.0,0.13115,0.0,0.0,0.0,0.2623,0.0,0.0
clustered_11,5,300,13,1.70492,0.0,0.2623,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,300,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,300,15,16.91803,0.0,0.0,0.0,0.0,0.39344,0.0,0.0,0.0
clustered_11,1,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,5,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,6,3.2,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,9,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,14,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,400,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,1,3.69231,0.0,0.0,0.61538,0.0,1.23077,0.0,0.0,0.0
clustered_11,2,400,2,4.30769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,5,13.53846,0.0,0.0,0.0,0.0,1.23077,0.0,0.0,0.0
clustered_11,2,400,6,4.92308,0.0,0.0,1.84615,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,8,14.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,9,6.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,10,1.23077,0.0,1.23077,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,11,0.0,0.0,1.23077,0.0,0.0,0.61538,0.0,0.0,0.0
clustered_11,2,400,12,0.0,0.0,0.0,0.0,0.0,0.61538,0.0,0.0,0.0
clustered_11,2,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,400,14,0.0,0.0,0.61538,0.0,0.0,0.0,0.0,0.0,0.0
