filename,r,sample_time,shannon,simpson
clustered_7,4,200,1.31117,0.58866
clustered_7,4,300,0.43125,0.16735
clustered_7,4,400,0.78325,0.44833
clustered_7,4,500,0.7256,0.37552
clustered_7,4,600,0.68278,0.3481
clustered_7,5,0,1.4876,0.73469
clustered_7,5,100,1.125,0.59496
clustered_7,5,200,1.30697,0.5897
clustered_7,5,300,0.45993,0.18395
clustered_7,5,400,0.78106,0.4511
clustered_7,5,500,0.7282,0.37681
clustered_7,5,600,0.67048,0.33042
clustered_8,1,0,1.0114,0.61111
clustered_8,1,100,0.853,0.52895
clustered_8,1,200,1.42631,0.70525
clustered_8,1,300,0.67452,0.32373
clustered_8,1,400,0.67919,0.48611
clustered_8,1,500,0.65195,0.35069
clustered_8,1,600,0.12169,0.05125
clustered_8,2,0,1.28687,0.64889
clustered_8,2,100,1.00199,0.55814
clustered_8,2,200,1.30846,0.67157
clustered_8,2,300,0.85793,0.42902
clustered_8,2,400,0.92552,0.54337
clustered_8,2,500,0.87299,0.44083
clustered_8,2,600,0.56209,0.26166
clustered_8,3,0,1.29658,0.67776
clustered_8,3,100,1.0331,0.56316
clustered_8,3,200,1.32136,0.66568
clustered_8,3,300,0.92109,0.46567
clustered_8,3,400,0.80433,0.50239
clustered_8,3,500,0.83815,0.42265
clustered_8,3,600,0.65876,0.31404
clustered_8,4,0,1.45395,0.71181
clustered_8,4,100,1.09088,0.57117
clustered_8,4,200,1.35996,0.66666
clustered_8,4,300,0.92913,0.47286
clustered_8,4,400,0.81757,0.49383
clustered_8,4,500,0.84622,0.43053
clustered_8,4,600,0.64884,0.30516
clustered_8,5,0,1.4876,0.73469
clustered_8,5,100,1.12156,0.57702
clustered_8,5,200,1.38384,0.66406
clustered_8,5,300,0.8927,0.43816
clustered_8,5,400,0.89258,0.4984
clustered_8,5,500,0.84343,0.43537
clustered_8,5,600,0.66108,0.31419
clustered_9,1,0,1.0114,0.61111
clustered_9,1,100,1.28277,0.67259
clustered_9,1,200,1.0789,0.59661
clustered_9,1,300,0.87875,0.52608
clustered_9,1,400,0.87444,0.45994
clustered_9,1,500,0.87601,0.54082
clustered_9,1,600,0.66156,0.46875
clustered_9,2,0,1.28687,0.64889
clustered_9,2,100,1.2495,0.648
clustered_9,2,200,1.09276,0.59734
clustered_9,2,300,0.8659,0.45868
clustered_9,2,400,0.76123,0.39737
clustered_9,2,500,1.02656,0.57373
clustered_9,2,600,0.50845,0.32699
clustered_9,3,0,1.29658,0.67776
clustered_9,3,100,1.17133,0.60901
clustered_9,3,200,1.20055,0.62193
clustered_9,3,300,0.8242,0.41507
clustered_9,3,400,0.72988,0.39126
clustered_9,3,500,1.06579,0.57771
clustered_9,3,600,0.39688,0.23442
clustered_9,4,0,1.45395,0.71181
clustered_9,4,100,1.16724,0.59912
clustered_9,4,200,1.22915,0.63234
clustered_9,4,300,0.83354,0.3965
clustered_9,4,400,0.78596,0.42071
clustered_9,4,500,1.00839,0.53635
clustered_9,4,600,0.38721,0.22684
clustered_9,5,0,1.4876,0.73469
clustered_9,5,100,1.20987,0.60756
clustered_9,5,200,1.23022,0.62904
clustered_9,5,300,0.78994,0.36936
