filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
random_1,300,3,10,37,0,0,0,0,0,0,0,0
random_1,300,3,11,0,0,0,0,0,0,0,0,0
random_1,300,4,0,0,117,0,0,11,1,3,0,1
random_1,300,4,1,0,0,0,0,0,0,0,0,0
random_1,300,4,2,0,0,0,0,0,0,1,0,0
random_1,300,4,3,0,0,0,0,0,0,0,0,0
random_1,300,4,4,0,0,2,0,0,3,0,0,0
random_1,300,4,5,0,0,0,0,0,0,0,0,0
random_1,300,4,6,0,0,0,0,0,0,0,0,0
random_1,300,4,7,17,0,0,0,0,0,0,0,0
random_1,300,4,8,0,0,4,0,0,0,0,0,0
random_1,300,4,9,0,0,1,0,0,0,0,0,0
random_1,300,4,10,55,0,0,0,0,0,0,0,0
random_1,300,4,11,0,0,0,0,0,0,0,0,0
random_1,300,5,0,0,177,0,0,16,1,5,0,1
random_1,300,5,1,0,0,0,0,0,0,0,0,0
random_1,300,5,2,0,0,0,0,0,0,1,0,0
random_1,300,5,3,0,0,0,0,0,0,0,0,0
random_1,300,5,4,0,0,2,0,0,3,0,0,0
random_1,300,5,5,0,0,2,0,0,0,0,0,0
random_1,300,5,6,0,0,0,0,0,0,0,0,0
random_1,300,5,7,22,0,0,0,0,0,0,0,0
random_1,300,5,8,2,0,4,0,0,0,0,0,0
random_1,300,5,9,1,0,1,0,0,0,0,0,0
random_1,300,5,10,87,0,0,0,0,0,0,0,0
random_1,300,5,11,0,0,0,0,0,0,0,0,0
random_1,400,1,0,0,0,0,0,0,0,0,0,0
random_1,400,1,1,0,0,0,0,0,0,0,0,0
random_1,400,1,2,0,0,0,0,0,0,0,0,0
random_1,400,1,3,0,0,0,0,0,0,0,0,0
random_1,400,1,4,0,0,0,0,0,0,0,0,0
random_1,400,1,5,0,0,0,0,0,0,0,0,0
random_1,400,1,6,2,0,0,0,0,0,0,0,0
random_1,400,1,7,0,0,0,0,0,0,0,0,0
random_1,400,1,8,0,0,2,0,0,0,0,0,0
random_1,400,1,9,0,0,0,0,0,0,0,0,0
random_1,400,1,10,0,0,0,0,0,0,0,0,0
