filename,r,mae,mdae,mser,mdser
random_19,1,0.025390669866385353,0.030032012805122053,-0.017423972625703537,-0.01203790972876742
random_19,2,0.024602328132860802,0.02208395708582835,-0.024602328132860802,-0.02208395708582835
random_19,3,0.019209398613524307,0.01866431649040345,-0.019209398613524307,-0.01866431649040345
random_19,4,0.015021985021721232,0.013655585663420261,-0.015021985021721232,-0.013655585663420261
random_19,5,0.012511094918581817,0.011471797884841373,-0.012511094918581817,-0.011471797884841373
random_20,1,0.025669780415462997,0.021192526518308163,-0.024768795189561488,-0.021192526518308163
random_20,2,0.020566558938186694,0.016269298782561375,-0.010422099636293727,-0.006665211339949944
random_20,3,0.016613425463122534,0.014865320219868163,-0.007896411754264103,-0.008815958815958813
random_20,4,0.01841043721342497,0.016052809749492206,-0.005705013991647695,-0.009173927323410153
random_20,5,0.015378873853209636,0.013238053619190018,-0.0023819697335849,-0.006250106318934703
clustered_1,1,0.024115265324053656,0.016390589365022204,-0.006786440806755467,-0.0038638985005767126
clustered_1,2,0.02525823406488761,0.022678920262830762,-0.007042804648866551,-0.010788183729757782
clustered_1,3,0.026431086959431034,0.034121976866456356,-0.006776915181859343,-0.005268040720124378
clustered_1,4,0.019351566126319705,0.01721002315333483,-0.0013485482637035878,-0.006152434456928835
clustered_1,5,0.017566749674356882,0.015716819777429242,-0.00215617175528501,-0.005792509363295893
clustered_2,1,0.021247294036305826,0.016901459438772866,-0.010032657100181598,-0.006785212685504387
clustered_2,2,0.019666149242718308,0.022099202031193324,-0.007115215949844023,-0.007994565782154501
clustered_2,3,0.017725272146887613,0.017536859191126734,-0.006731304240773046,-0.010713829714094902
clustered_2,4,0.01472225279493407,0.013319099795896449,-0.0005203423681676826,-0.004179360771345144
clustered_2,5,0.014653549489648428,0.012645849907186434,-0.0016373093810261837,-0.0035699673376407785
clustered_3,1,0.02528059238656876,0.02616919868930592,-0.006976689388068041,-0.008314208867986863
clustered_3,2,0.02007817514788802,0.0189050000472237,-0.006414399280478304,-0.010376987959564741
clustered_3,3,0.019238649512433054,0.016301155092133462,-0.00689994845161007,-0.005811846843861142
clustered_3,4,0.018241554164770638,0.018210376939714182,-0.002569472044808207,-0.006028105080162254
