filename,sample_time,r,sample_id,mser
random_1,200,2,12,-0.0489665200287772
random_1,200,2,13,-0.0355312804028814
random_1,200,2,14,-0.05
random_1,200,2,15,-0.0169286409208719
random_1,200,3,0,-0.0349525316189967
random_1,200,3,1,-0.05
random_1,200,3,2,-0.0365647603741042
random_1,200,3,3,-0.0392518082992834
random_1,200,3,4,-0.0458130528078714
random_1,200,3,5,-0.0419388562244625
random_1,200,3,6,0.023435278935587
random_1,200,3,7,0.0108077367787793
random_1,200,3,8,-0.0349525316189967
random_1,200,3,9,-0.0329152227670115
random_1,200,3,10,0.0652533440353735
random_1,200,3,11,-0.0425885952976564
random_1,200,3,12,-0.0494625904149641
random_1,200,3,13,-0.0387143987142475
random_1,200,3,14,-0.05
random_1,200,3,15,-0.0220547015781368
random_1,200,4,0,-0.0351668728292977
random_1,200,4,1,-0.05
random_1,200,4,2,-0.0329601838891078
random_1,200,4,3,-0.0418077807159172
random_1,200,4,4,-0.0423409502583014
random_1,200,4,5,-0.0431185358013704
random_1,200,4,6,0.0197179695219873
random_1,200,4,7,0.0032568460768881
random_1,200,4,8,-0.0385308930022841
random_1,200,4,9,-0.0363055651930812
random_1,200,4,10,0.0267617111267878
random_1,200,4,11,-0.0265610962612138
random_1,200,4,12,-0.0471192946480705
random_1,200,4,13,-0.0378755154595574
random_1,200,4,14,-0.05
random_1,200,4,15,-0.0201803218059386
random_1,200,5,0,-0.0320175793668266
random_1,200,5,1,-0.05
random_1,200,5,2,-0.0273603041924047
random_1,200,5,3,-0.0418507562924894
random_1,200,5,4,-0.0448521141080386
random_1,200,5,5,-0.0440532545918166
random_1,200,5,6,0.0063204279987071
random_1,200,5,7,-0.0012196085133377
random_1,200,5,8,-0.0385470088434987
random_1,200,5,9,-0.0344082987502517
random_1,200,5,10,0.0642435333992247
random_1,200,5,11,-0.0301072726397
random_1,200,5,12,-0.0478435383761474
random_1,200,5,13,-0.009975333511474
random_1,200,5,14,-0.05
random_1,200,5,15,0.0519070150894688
random_1,300,1,0,0.3284025941605896
random_1,300,1,1,-0.05
random_1,300,1,2,-0.05
random_1,300,1,3,-0.05
random_1,300,1,4,0.0377508697962191
random_1,300,1,5,-0.05
random_1,300,1,6,-0.05
random_1,300,1,7,-0.05
random_1,300,1,8,1.1195906432748537
random_1,300,1,9,-0.05
random_1,300,1,10,0.1638350694848952
random_1,300,1,11,-0.05
random_1,300,1,12,-0.05
random_1,300,1,13,-0.05
random_1,300,1,14,-0.0061245651018904
random_1,300,1,15,-0.05
random_1,300,2,0,0.1907742691468248
random_1,300,2,1,-0.05
random_1,300,2,2,-0.05
random_1,300,2,3,-0.05
random_1,300,2,4,0.0280476486168295
random_1,300,2,5,-0.05
random_1,300,2,6,-0.05
random_1,300,2,7,-0.05
random_1,300,2,8,0.3998425551057131
random_1,300,2,9,-0.05
random_1,300,2,10,0.0533382165798201
random_1,300,2,11,-0.05
random_1,300,2,12,0.0207826794783316
random_1,300,2,13,-0.05
random_1,300,2,14,-0.0120308736458667
random_1,300,2,15,-0.05
random_1,300,3,0,0.3213776826818116
random_1,300,3,1,-0.05
random_1,300,3,2,-0.05
random_1,300,3,3,-0.05
random_1,300,3,4,0.0158131523471643
random_1,300,3,5,-0.05
random_1,300,3,6,-0.05
random_1,300,3,7,-0.05
random_1,300,3,8,0.2702248660534859
random_1,300,3,9,-0.05
random_1,300,3,10,0.0465028865184855
random_1,300,3,11,-0.05
random_1,300,3,12,0.0236139866574649
random_1,300,3,13,-0.0131930066712675
random_1,300,3,14,-0.0094152227192486
random_1,300,3,15,-0.05
random_1,300,4,0,0.2420846366258315
random_1,300,4,1,-0.05
random_1,300,4,2,-0.0199303511759112
random_1,300,4,3,-0.05
random_1,300,4,4,0.0182209506037679
random_1,300,4,5,-0.05
random_1,300,4,6,-0.05
random_1,300,4,7,-0.05
random_1,300,4,8,0.1508453096557233
random_1,300,4,9,-0.0292732152942944
random_1,300,4,10,0.0155315519774468
random_1,300,4,11,-0.05
random_1,300,4,12,0.039773154460323
random_1,300,4,13,-0.0275567113849192
random_1,300,4,14,-0.0132141933018898
random_1,300,4,15,-0.05
random_1,300,5,0,0.2273955999563425
random_1,300,5,1,-0.05
random_1,300,5,2,-0.0297892524297108
random_1,300,5,3,-0.05
random_1,300,5,4,0.0156333349910245
random_1,300,5,5,-0.05
random_1,300,5,6,-0.05
random_1,300,5,7,-0.05
random_1,300,5,8,0.0849943884571254
random_1,300,5,9,-0.0360688824109192
random_1,300,5,10,0.0003394046956357
random_1,300,5,11,-0.05
random_1,300,5,12,0.0112384201064898
random_1,300,5,13,-0.0344656232782027
random_1,300,5,14,-0.0108897250395949
random_1,300,5,15,-0.05
random_1,400,1,0,-0.05
random_1,400,1,1,-0.05
random_1,400,1,2,-0.05
random_1,400,1,3,-0.05
random_1,400,1,4,-0.05
random_1,400,1,5,0.0176218249440006
random_1,400,1,6,-0.05
random_1,400,1,7,-0.05
random_1,400,1,8,-0.0459065674009261
random_1,400,1,9,-0.05
random_1,400,1,10,-0.05
random_1,400,1,11,-0.0254394044055568
random_1,400,1,12,0.0051590995277002
random_1,400,1,13,-0.05
random_1,400,1,14,-0.05
random_1,400,1,15,-0.05
random_1,400,2,0,-0.05
random_1,400,2,1,-0.0012021703573943
random_1,400,2,2,-0.05
random_1,400,2,3,-0.05
random_1,400,2,4,-0.05
random_1,400,2,5,0.0232318266983467
random_1,400,2,6,-0.0393924808600576
random_1,400,2,7,-0.05
random_1,400,2,8,-0.0437024113860402
random_1,400,2,9,-0.05
random_1,400,2,10,-0.05
random_1,400,2,11,-0.0055078598255855
random_1,400,2,12,-0.0075699234402306
random_1,400,2,13,-0.05
random_1,400,2,14,-0.05
random_1,400,2,15,-0.05
random_1,400,3,0,-0.05
random_1,400,3,1,0.0097166036724051
random_1,400,3,2,-0.0334522701416899
random_1,400,3,3,-0.05
random_1,400,3,4,-0.05
random_1,400,3,5,0.0246603395493497
random_1,400,3,6,-0.0444840900472299
random_1,400,3,7,-0.0444840900472299
random_1,400,3,8,-0.0434505078414818
random_1,400,3,9,-0.0444840900472299
random_1,400,3,10,-0.05
random_1,400,3,11,-0.0045468607384237
random_1,400,3,12,-0.0279363601889199
random_1,400,3,13,-0.0389681800944599
random_1,400,3,14,-0.0444840900472299
random_1,400,3,15,-0.05
random_1,400,4,0,-0.05
random_1,400,4,1,-0.0068607173305212
random_1,400,4,2,-0.0365465610908048
random_1,400,4,3,-0.0466366402727012
random_1,400,4,4,-0.05
random_1,400,4,5,0.0120177253213109
random_1,400,4,6,-0.0466366402727012
random_1,400,4,7,-0.0432732805454024
random_1,400,4,8,-0.0405152171484874
random_1,400,4,9,-0.044639843882909
random_1,400,4,10,-0.0370681677290975
random_1,400,4,11,-0.0026862171522961
random_1,400,4,12,-0.033183201363506
random_1,400,4,13,-0.0399099208181036
random_1,400,4,14,-0.0466366402727012
random_1,400,4,15,-0.05
random_1,400,5,0,-0.0274078310105759
random_1,400,5,1,-0.0164835067690634
random_1,400,5,2,-0.0386969058344876
random_1,400,5,3,-0.0477393811668975
random_1,400,5,4,-0.05
random_1,400,5,5,0.0072908276270861
random_1,400,5,6,-0.0449679948987007
random_1,400,5,7,-0.0432181435006926
random_1,400,5,8,-0.0392631276089865
random_1,400,5,9,-0.0457262175935825
random_1,400,5,10,-0.0369621691039261
random_1,400,5,11,-0.0077975877112736
random_1,400,5,12,-0.0124020945926599
random_1,400,5,13,-0.0364362870013851
random_1,400,5,14,-0.022886593344371
random_1,400,5,15,-0.05
random_1,500,1,0,-0.0161176476917531
random_1,500,1,1,0.0935956263033185
random_1,500,1,2,0.0183137235914072
random_1,500,1,3,-0.0247254905125432
random_1,500,1,4,-0.0333333333333333
random_1,500,1,5,-0.0333333333333333
random_1,500,1,6,-0.0096233069559289
random_1,500,1,7,-0.0247254905125432
random_1,500,1,8,-0.0333333333333333
random_1,500,1,9,-0.0207650917088881
random_1,500,1,10,-0.0123862639592579
random_1,500,1,11,-0.0333333333333333
random_1,500,1,12,0.0751412606810964
random_1,500,1,13,-0.0247254905125432
random_1,500,1,14,0.049257502362642
random_1,500,1,15,0.0157421913641214
random_1,500,2,0,-0.0251006027501043
random_1,500,2,1,0.0370346879021477
random_1,500,2,2,-0.0035369543382907
random_1,500,2,3,-0.0267119157788794
random_1,500,2,4,-0.0333333333333333
random_1,500,2,5,-0.0333333333333333
random_1,500,2,6,-0.024214092418947
random_1,500,2,7,-0.0300226245561063
random_1,500,2,8,-0.0333333333333333
random_1,500,2,9,0.0112579595433667
random_1,500,2,10,-0.020442829103133
random_1,500,2,11,-0.0333333333333333
random_1,500,2,12,0.024941208250659
random_1,500,2,13,-0.0234012070016524
random_1,500,2,14,0.0278764208199152
random_1,500,2,15,-0.0014795445767428
random_1,500,3,0,-0.0125679033338743
random_1,500,3,1,0.0067011748374328
random_1,500,3,2,-0.0126745105634371
random_1,500,3,3,-0.0281686276408592
random_1,500,3,4,-0.0333333333333333
random_1,500,3,5,-0.0333333333333333
random_1,500,3,6,-0.0285913280578524
random_1,500,3,7,-0.0013623242187546
random_1,500,3,8,-0.0333333333333333
random_1,500,3,9,0.0178294195481475
random_1,500,3,10,-0.01573779505911
random_1,500,3,11,-0.0333333333333333
