filename,sample_time,r,sample_id,mser
random_1,500,1,8,0.0751412606810964
random_1,500,1,9,-0.0247254905125432
random_1,500,1,10,0.049257502362642
random_1,500,1,11,0.0157421913641214
random_1,500,2,0,-0.0251006027501043
random_1,500,2,1,0.0370346879021477
random_1,500,2,2,-0.0035369543382907
random_1,500,2,3,-0.0267119157788794
random_1,500,2,4,0.0279846444797946
random_1,500,2,5,0.050408912000198
random_1,500,2,6,0.0338163419462171
random_1,500,2,7,-0.0300226245561063
random_1,500,2,8,0.024941208250659
random_1,500,2,9,-0.0234012070016524
random_1,500,2,10,0.0278764208199152
random_1,500,2,11,-0.0014795445767428
random_1,500,3,0,-0.0125679033338743
random_1,500,3,1,0.0067011748374328
random_1,500,3,2,-0.0126745105634371
random_1,500,3,3,-0.0281686276408592
random_1,500,3,4,0.0236884983783837
random_1,500,3,5,0.0378568204371706
random_1,500,3,6,0.0183421533112932
random_1,500,3,7,-0.0298901962050173
random_1,500,3,8,0.0072988396752908
random_1,500,3,9,-0.0195607848200691
random_1,500,3,10,0.0218085741937191
random_1,500,3,11,0.0061207717704637
random_1,500,4,0,-0.0152254984859218
random_1,500,4,1,-0.0060305812319631
random_1,500,4,2,-0.0144380686047697
random_1,500,4,3,-0.0280846486865101
random_1,500,4,4,0.4223359295642772
random_1,500,4,5,0.0230182332167671
random_1,500,4,6,0.0181851568562277
random_1,500,4,7,-0.031233859474604
random_1,500,4,8,-0.0054084072960783
random_1,500,4,9,-0.0112888578166757
random_1,500,4,10,0.0249464364883324
random_1,500,4,11,0.0137875493934349
random_1,500,5,0,-0.0051358462361636
random_1,500,5,1,-0.004853059169212
random_1,500,5,2,-0.0114609458378831
random_1,500,5,3,-0.0255721635768832
random_1,500,5,4,0.5554926780672742
random_1,500,5,5,0.0292495358744259
random_1,500,5,6,0.0143428426336644
random_1,500,5,7,-0.0298055288985832
random_1,500,5,8,-2.827349019878507e-05
random_1,500,5,9,-0.0142831893856831
random_1,500,5,10,0.0224295931020122
random_1,500,5,11,0.0068247931772856
random_1,600,1,0,0.0078804790794871
random_1,600,1,1,-0.0190224082738241
random_1,600,1,2,-0.0077199234040686
random_1,600,1,3,-0.0277777777777777
random_1,600,1,4,-0.0277777777777777
random_1,600,1,5,-0.0015116692659169
random_1,600,1,6,-0.0277777777777777
random_1,600,1,7,-0.0277777777777777
random_1,600,1,8,0.010427594445289
random_1,600,1,9,-0.0227633141843504
random_1,600,1,10,-0.0027054598106413
random_1,600,1,11,-0.0277777777777777
random_1,600,2,0,-0.0022769892696614
random_1,600,2,1,-0.0109405287317131
random_1,600,2,2,0.0209749441010067
random_1,600,2,3,-0.0277777777777777
random_1,600,2,4,-0.0277777777777777
random_1,600,2,5,-0.0042056291132873
random_1,600,2,6,-0.023920498090526
random_1,600,2,7,-0.023920498090526
random_1,600,2,8,-0.0111547640022031
random_1,600,2,9,0.0721930316115547
random_1,600,2,10,-0.0104200191851448
random_1,600,2,11,-0.0260940528731713
