filename,sample_time,r,type_id,ae,ser
random_2,100,2,8,0.049999999999999996,-0.049999999999999996
random_2,100,3,0,0.02189715196510213,-0.02189715196510213
random_2,100,3,1,0.049999999999999996,-0.049999999999999996
random_2,100,3,2,0.025624619134673975,-0.025624619134673975
random_2,100,3,3,0.018173733969858656,-0.018173733969858656
random_2,100,3,4,0.05,-0.05
random_2,100,3,5,0.030334316617502452,-0.030334316617502452
random_2,100,3,6,0.05,-0.05
random_2,100,3,7,0.0012820512820512844,0.0012820512820512844
random_2,100,3,8,0.049999999999999996,-0.049999999999999996
random_2,100,4,0,0.018541588020636712,-0.018541588020636712
random_2,100,4,1,0.049999999999999996,-0.049999999999999996
random_2,100,4,2,0.03513711151736746,-0.03513711151736746
random_2,100,4,3,0.026027567162781994,-0.026027567162781994
random_2,100,4,4,0.010147058823529414,-0.010147058823529414
random_2,100,4,5,0.014026548672566374,-0.014026548672566374
random_2,100,4,6,0.05,-0.05
random_2,100,4,7,0.012538461538461545,0.012538461538461545
random_2,100,4,8,0.049999999999999996,-0.049999999999999996
random_2,100,5,0,0.01785398578079778,-0.01785398578079778
random_2,100,5,1,0.049999999999999996,-0.049999999999999996
random_2,100,5,2,0.020029707495429618,-0.020029707495429618
random_2,100,5,3,0.02928367499765984,-0.02928367499765984
random_2,100,5,4,0.02321282679738563,-0.02321282679738563
random_2,100,5,5,0.02179049901671583,-0.02179049901671583
random_2,100,5,6,0.05,-0.05
random_2,100,5,7,0.007964743589743594,-0.007964743589743594
random_2,100,5,8,0.049999999999999996,-0.049999999999999996
random_2,200,1,0,0.03992417945036399,-0.03992417945036399
random_2,200,1,1,0.049999999999999996,-0.049999999999999996
random_2,200,1,2,0.05,-0.05
random_2,200,1,3,0.05,-0.05
random_2,200,1,4,0.049999999999999996,-0.049999999999999996
random_2,200,1,5,0.049999999999999996,-0.049999999999999996
random_2,200,1,6,0.05,-0.05
random_2,200,1,7,0.049999999999999996,-0.049999999999999996
random_2,200,1,8,0.05,-0.05
random_2,200,2,0,0.03372369581097761,-0.03372369581097761
random_2,200,2,1,0.049999999999999996,-0.049999999999999996
random_2,200,2,2,0.05,-0.05
random_2,200,2,3,0.023155499331123135,-0.023155499331123135
random_2,200,2,4,0.049999999999999996,-0.049999999999999996
random_2,200,2,5,0.0033073458073458128,0.0033073458073458128
random_2,200,2,6,0.05,-0.05
random_2,200,2,7,0.049999999999999996,-0.049999999999999996
random_2,200,2,8,0.05,-0.05
random_2,200,3,0,0.03065442454469886,-0.03065442454469886
random_2,200,3,1,0.049999999999999996,-0.049999999999999996
random_2,200,3,2,0.05,-0.05
random_2,200,3,3,0.017428604664689117,-0.017428604664689117
random_2,200,3,4,0.049999999999999996,-0.049999999999999996
random_2,200,3,5,0.005440055440055449,0.005440055440055449
random_2,200,3,6,0.05,-0.05
random_2,200,3,7,0.06299435028248589,0.06299435028248589
