filename,sample_time,r,mae,mdae,mser,mdser
random_4,200,2,0.060631074610787906,0.049999999999999996,-0.008139667561070535,-0.049999999999999996
random_4,200,3,0.0473881311203602,0.049999999999999996,-0.01459964016367999,-0.049999999999999996
random_4,200,4,0.034859628470855004,0.049999999999999996,-0.012854740620435842,-0.008113624240531858
random_4,200,5,0.0362319937514923,0.049999999999999996,-0.01376801889471365,-0.010684086337614107
random_4,300,1,0.04267998681386229,0.049999999999999996,-0.014899694687307646,-0.04999999999999999
random_4,300,2,0.03358892550838711,0.04157514880952381,-0.02414890060953868,-0.03272947537793744
random_4,300,3,0.03618338796700768,0.04523809523809524,-0.026130477914097627,-0.03203861697350696
random_4,300,4,0.03431510151942336,0.037107886904761904,-0.026068904429476267,-0.0353972085017213
random_4,300,5,0.03244982889778743,0.038958146235593474,-0.030550192654401183,-0.038958146235593474
random_4,400,1,0.03667940430477743,0.049999999999999996,-0.016447465737154804,-0.024541751527494902
random_4,400,2,0.030281118243800136,0.049999999999999996,-0.015913364362645996,-0.006833292910270305
random_4,400,3,0.023907372540863583,0.007769788278262851,-0.022263691520972604,-0.007769788278262851
random_4,400,4,0.024954987720840774,0.013595640383813102,-0.02096038065215472,-0.006619157678479705
random_4,400,5,0.028472224559356347,0.03548954422194408,-0.02058565917670211,-0.010351801171079424
random_4,500,1,0.027835799993813155,0.022985141828005397,-0.015093087336974263,-0.020194851160537985
random_4,500,2,0.024004159401917552,0.016555434782608697,-0.01126144674507866,-0.01363389239081495
random_4,500,3,0.022796038223157098,0.009763049066726275,-0.0052825608127282,-0.0013732552904097254
random_4,500,4,0.06190871762117932,0.0072913872433963,0.04358405268240032,0.0
random_4,500,5,0.043622569038592705,0.010300543012555412,0.02637971254303481,0.0
random_4,600,1,0.013983283567516797,0.00980707395498392,-0.007374441402806119,0.0
random_4,600,2,0.012253828723307797,0.004644506682389942,-0.012253828723307797,-0.004644506682389942
random_4,600,3,0.013446614129608988,0.006301802550644789,-0.01172006203624623,-0.0028301886792452785
random_4,600,4,0.011946218739336024,0.009154206268078913,-0.00819729549715388,0.0
random_4,600,5,0.010527488962186554,0.008462844450727513,-0.00750562334531119,0.0
random_5,0,1,0.03986531986531986,0.05,-0.029764309764309764,-0.05
random_5,0,2,0.03267299179292929,0.02202818181818182,-0.03267299179292929,-0.02202818181818182
random_5,0,3,0.02715151515151515,0.028666666666666667,-0.01826262626262626,-0.02090909090909091
random_5,0,4,0.02077287079124579,0.017479999999999996,-0.009029611531986536,-0.00853662500000001
random_5,0,5,0.018634466329966327,0.015574999999999988,-0.009708614478114481,-0.015027000000000006
random_5,100,1,0.04050821738537603,0.049999999999999996,-0.03351554054509048,-0.049999999999999996
random_5,100,2,0.041535596223435035,0.049999999999999996,-0.00712368691207527,-0.012181661750245822
random_5,100,3,0.031721579902046056,0.034745762711864414,-0.013846460048016361,-0.005056179775280893
