filename,r,type_id,ae,ser
random_4,5,3,0.00441919020203395,-0.00441919020203395
random_4,5,4,0.028130910693441962,-0.028130910693441962
random_4,5,5,0.018406610644257713,-0.018406610644257713
random_4,5,6,0.02640762727109192,-0.02640762727109192
random_4,5,7,0.002508007320979169,0.002508007320979169
random_4,5,8,0.012051504629629636,-0.012051504629629636
random_5,1,0,0.015718421269815073,-0.015718421269815073
random_5,1,1,0.01909869391129455,0.01909869391129455
random_5,1,2,0.0040035457591228825,0.0040035457591228825
random_5,1,3,0.01638372972518698,-0.01638372972518698
random_5,1,4,0.0022469514794917485,-0.0022469514794917485
random_5,1,5,0.009027937824895657,-0.009027937824895657
random_5,1,6,0.05,-0.05
random_5,1,7,0.05,-0.05
random_5,1,8,0.049999999999999996,-0.049999999999999996
random_5,2,0,0.0094676541665873,-0.0094676541665873
random_5,2,1,0.011695246996983094,0.011695246996983094
random_5,2,2,0.0029928978231596897,-0.0029928978231596897
random_5,2,3,0.01767669552063197,-0.01767669552063197
random_5,2,4,0.002475825019186495,0.002475825019186495
random_5,2,5,0.005154477478169564,0.005154477478169564
random_5,2,6,0.03363699212933418,-0.03363699212933418
random_5,2,7,0.05,-0.05
random_5,2,8,0.049999999999999996,-0.049999999999999996
random_5,3,0,0.007338479802436514,-0.007338479802436514
random_5,3,1,0.017124445513829,0.017124445513829
random_5,3,2,0.0059444758280839645,-0.0059444758280839645
random_5,3,3,0.010220746841471248,-0.010220746841471248
random_5,3,4,0.005939285409738224,0.005939285409738224
random_5,3,5,0.007360887045146086,0.007360887045146086
random_5,3,6,0.03298234418208892,-0.03298234418208892
random_5,3,7,0.032281284606866,-0.032281284606866
random_5,3,8,0.020845481049562676,-0.020845481049562676
random_5,4,0,0.0064899578251935725,-0.0064899578251935725
random_5,4,1,0.019520036564725524,0.019520036564725524
random_5,4,2,0.00736564841559991,-0.00736564841559991
random_5,4,3,0.011737593495251693,-0.011737593495251693
random_5,4,4,0.007403470623347833,0.007403470623347833
random_5,4,5,0.0012147576246446866,0.0012147576246446866
random_5,4,6,0.008493671559242712,-0.008493671559242712
random_5,4,7,0.017588039867109637,-0.017588039867109637
random_5,4,8,0.03222303206997084,-0.03222303206997084
random_5,5,0,0.0045201689954862505,-0.0045201689954862505
random_5,5,1,0.01897732904756911,0.01897732904756911
random_5,5,2,0.007482040268170227,-0.007482040268170227
random_5,5,3,0.009357211390312892,-0.009357211390312892
random_5,5,4,0.007594610727381253,0.007594610727381253
random_5,5,5,0.00709258405674629,0.00709258405674629
random_5,5,6,0.004665762603701339,-0.004665762603701339
random_5,5,7,0.013690476190476192,-0.013690476190476192
random_5,5,8,0.01813654033041788,-0.01813654033041788
random_6,1,0,0.005228981137826853,-0.005228981137826853
random_6,1,1,0.005161977356798566,-0.005161977356798566
random_6,1,2,0.004960153888430891,0.004960153888430891
random_6,1,3,0.01792010126269643,0.01792010126269643
random_6,1,4,0.018893382067034753,-0.018893382067034753
random_6,1,5,0.0019796393670916583,-0.0019796393670916583
random_6,1,6,0.05000000000000001,-0.05000000000000001
random_6,1,7,0.05000000000000002,-0.05000000000000002
random_6,1,8,0.05,-0.05
random_6,2,0,0.0018217071570522149,-0.0018217071570522149
