filename,r,mae_sh,mae_si,mdae_sh,mdae_si
random_18,3,0.10294860956993301,0.046207578515001235,0.10294860956993301,0.046207578515001235
random_18,4,0.10682539570999117,0.04635934041429135,0.10682539570999117,0.04635934041429135
random_18,5,0.11262637965811462,0.04659371942965118,0.11262637965811462,0.04659371942965118
random_19,1,0.058731209500776815,0.013418239511013397,0.058731209500776815,0.013418239511013397
random_19,2,0.05151513541336006,0.009730832507047649,0.05151513541336006,0.009730832507047649
random_19,3,0.08046167308121932,0.013960252744580237,0.08046167308121932,0.013960252744580237
random_19,4,0.12160040674400308,0.03465762428888486,0.12160040674400308,0.03465762428888486
random_19,5,0.14044289751147532,0.04226034255655364,0.14044289751147532,0.04226034255655364
random_20,1,0.15312354676478646,0.09458892785923878,0.15312354676478646,0.09458892785923878
random_20,2,0.1887919680920893,0.09627835035797072,0.1887919680920893,0.09627835035797072
random_20,3,0.16901875246164022,0.08619951696357597,0.16901875246164022,0.08619951696357597
random_20,4,0.17740608561234605,0.0863328804622433,0.17740608561234605,0.0863328804622433
random_20,5,0.18943148575232294,0.08800818101401642,0.18943148575232294,0.08800818101401642
clustered_1,1,0.2780817301170486,0.14253259851166167,0.2780817301170486,0.14253259851166167
clustered_1,2,0.29049513750651657,0.14582298971195973,0.29049513750651657,0.14582298971195973
clustered_1,3,0.31017769174799636,0.15625704093488535,0.31017769174799636,0.15625704093488535
clustered_1,4,0.3071163114303699,0.14629895342156674,0.3071163114303699,0.14629895342156674
clustered_1,5,0.29105625037799254,0.1389885981998138,0.29105625037799254,0.1389885981998138
clustered_2,1,0.17420201790041356,0.0943975994483694,0.17420201790041356,0.0943975994483694
clustered_2,2,0.21707329543776033,0.10500683385359305,0.21707329543776033,0.10500683385359305
clustered_2,3,0.23126329301161896,0.11228760220609707,0.23126329301161896,0.11228760220609707
clustered_2,4,0.26144582193716026,0.12271486511113322,0.26144582193716026,0.12271486511113322
clustered_2,5,0.23303540916361665,0.11179434369133295,0.23303540916361665,0.11179434369133295
clustered_3,1,0.33241013373449424,0.16352211274698458,0.33241013373449424,0.16352211274698458
clustered_3,2,0.29205070546592804,0.12973844511517396,0.29205070546592804,0.12973844511517396
clustered_3,3,0.26616471257278973,0.12206197926185103,0.26616471257278973,0.12206197926185103
clustered_3,4,0.2794283193451461,0.12050680616575637,0.2794283193451461,0.12050680616575637
clustered_3,5,0.305940877091462,0.13070595780345862,0.305940877091462,0.13070595780345862
clustered_4,1,0.3654016042169308,0.18372612674328126,0.3654016042169308,0.18372612674328126
clustered_4,2,0.2909452909760424,0.14178232085336517,0.2909452909760424,0.14178232085336517
clustered_4,3,0.2939694866716096,0.14227253628836256,0.2939694866716096,0.14227253628836256
clustered_4,4,0.3147937781891097,0.14801278215406743,0.3147937781891097,0.14801278215406743
clustered_4,5,0.29965573646244437,0.14134181248662137,0.29965573646244437,0.14134181248662137
clustered_5,1,0.4226115906713712,0.19142989272902022,0.4226115906713712,0.19142989272902022
clustered_5,2,0.4563952411128729,0.19788462148596275,0.4563952411128729,0.19788462148596275
clustered_5,3,0.414674584295035,0.18140532173277857,0.414674584295035,0.18140532173277857
clustered_5,4,0.4289327269836116,0.1843509653917147,0.4289327269836116,0.1843509653917147
clustered_5,5,0.4217581984248089,0.18133772411134286,0.4217581984248089,0.18133772411134286
clustered_6,1,0.36789976307505823,0.19464781785960733,0.36789976307505823,0.19464781785960733
clustered_6,2,0.45485509617765807,0.21867232673643094,0.45485509617765807,0.21867232673643094
clustered_6,3,0.4165842888593656,0.20152567329898202,0.4165842888593656,0.20152567329898202
clustered_6,4,0.41179890033675415,0.19804841279988356,0.41179890033675415,0.19804841279988356
clustered_6,5,0.41236513570334066,0.19763694957953787,0.41236513570334066,0.19763694957953787
clustered_7,1,0.335568095761655,0.14875708114086578,0.335568095761655,0.14875708114086578
clustered_7,2,0.2883261549158803,0.1145442942649631,0.2883261549158803,0.1145442942649631
clustered_7,3,0.2867983735516201,0.11023015228991645,0.2867983735516201,0.11023015228991645
clustered_7,4,0.2816201319237389,0.10703943565198099,0.2816201319237389,0.10703943565198099
clustered_7,5,0.27944688641488236,0.10762923998542667,0.27944688641488236,0.10762923998542667
clustered_8,1,0.38156228173324336,0.1757412887068191,0.38156228173324336,0.1757412887068191
clustered_8,2,0.4260848418981644,0.1959472985536484,0.4260848418981644,0.1959472985536484
clustered_8,3,0.43132501148086866,0.19646621661321412,0.43132501148086866,0.19646621661321412
clustered_8,4,0.46175805057562913,0.19896554996840227,0.46175805057562913,0.19896554996840227
clustered_8,5,0.45801859669753453,0.1933510527020163,0.45801859669753453,0.1933510527020163
clustered_9,1,0.5451149620117404,0.24707134211655585,0.5451149620117404,0.24707134211655585
clustered_9,2,0.44489298218372086,0.2003435171913513,0.44489298218372086,0.2003435171913513
clustered_9,3,0.445897605772408,0.2025541577359103,0.445897605772408,0.2025541577359103
clustered_9,4,0.46458180819226347,0.20741921473554453,0.46458180819226347,0.20741921473554453
clustered_9,5,0.43551050513844936,0.19601774461694182,0.43551050513844936,0.19601774461694182
clustered_10,1,0.4629267680707779,0.2261014132937743,0.4629267680707779,0.2261014132937743
clustered_10,2,0.43985979173168854,0.20671529346428608,0.43985979173168854,0.20671529346428608
clustered_10,3,0.4073409881616158,0.19284943527886111,0.4073409881616158,0.19284943527886111
clustered_10,4,0.4281731889336954,0.1975550055273173,0.4281731889336954,0.1975550055273173
clustered_10,5,0.3928661554041769,0.1883225137964074,0.3928661554041769,0.1883225137964074
clustered_11,1,0.26771298296421553,0.11290318039426872,0.26771298296421553,0.11290318039426872
clustered_11,2,0.2410119907038708,0.10913972062587651,0.2410119907038708,0.10913972062587651
clustered_11,3,0.29127296147101744,0.1362548833906566,0.29127296147101744,0.1362548833906566
clustered_11,4,0.3069583535112581,0.13768851349900924,0.3069583535112581,0.13768851349900924
clustered_11,5,0.31018015143592326,0.1397922097451828,0.31018015143592326,0.1397922097451828
clustered_12,1,0.22058041350226465,0.09711666780679001,0.22058041350226465,0.09711666780679001
clustered_12,2,0.27768648417748887,0.11713125847436262,0.27768648417748887,0.11713125847436262
clustered_12,3,0.355146787657429,0.14997278220708682,0.355146787657429,0.14997278220708682
clustered_12,4,0.3683825890929959,0.15396396671180085,0.3683825890929959,0.15396396671180085
clustered_12,5,0.37783413797832655,0.15992062302116478,0.37783413797832655,0.15992062302116478
clustered_13,1,0.3654896277229257,0.19422188545176128,0.3654896277229257,0.19422188545176128
