filename,r,sample_time,sample_id,mae_sh,mae_si,mdae_sh,mdae_si
random_1,2,100,12,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,2,100,13,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,2,100,14,0.07469296694297634,0.06593774017735854,0.07469296694297634,0.06593774017735854
random_1,2,100,15,0.31810209760908137,0.11008266798590688,0.31810209760908137,0.11008266798590688
random_1,3,100,0,0.7042974194944854,0.31416430063896794,0.7042974194944854,0.31416430063896794
random_1,3,100,1,0.7818195234710019,0.37356879965617307,0.7818195234710019,0.37356879965617307
random_1,3,100,2,0.17629340784476366,0.04120511696549867,0.17629340784476366,0.04120511696549867
random_1,3,100,3,0.7030999592044394,0.35690176599548085,0.7030999592044394,0.35690176599548085
random_1,3,100,4,0.12524565427149126,0.12461120956511362,0.12524565427149126,0.12461120956511362
random_1,3,100,5,0.42909953050643623,0.06687475982264146,0.42909953050643623,0.06687475982264146
random_1,3,100,6,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,3,100,7,0.523571491507312,0.1578276919214069,0.523571491507312,0.1578276919214069
random_1,3,100,8,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,3,100,9,0.31810209760908137,0.11008266798590688,0.31810209760908137,0.11008266798590688
random_1,3,100,10,0.6850907158522782,0.29870723023684265,0.6850907158522782,0.29870723023684265
