filename,r,sample_id,mae,mdae,r2
random_2,4,5,0.41541910569105694,0.11091585365853657,-0.03228872686199202
random_2,4,6,0.4774920054200542,0.22495,-0.3780685160488242
random_2,4,7,0.4774920054200542,0.22495,-0.3780685160488242
random_2,4,8,0.5171836043360434,0.22495,-0.7066828565191963
random_2,4,9,0.4991722222222223,0.22495,-0.4046046176938889
random_2,4,10,0.4991722222222223,0.22495,-0.4046046176938889
random_2,4,11,0.45877953929539306,0.11091585365853657,-0.3662109058802743
random_2,5,0,0.6720193989071038,0.22495,-2.46068191819851
random_2,5,1,0.48460027322404375,0.0938024590163935,-0.3970623628670187
random_2,5,2,0.5773075591985428,0.22495,-0.5838851386698303
random_2,5,3,0.9301073770491802,0.2254,-3.23337314202446
random_2,5,4,0.5082982695810565,0.22495,-0.6184605657533633
random_2,5,5,0.42288278688524594,0.050140163934426274,-0.1339503965203348
random_2,5,6,0.4263124772313297,0.08100737704918037,-0.13468077013949098
random_2,5,7,0.4700283242258652,0.2121549180327869,-0.37211201027579666
random_2,5,8,0.5228702185792351,0.050140163934426274,-1.0282537736385287
random_2,5,9,0.48460027322404375,0.22495,-0.3852551279668648
random_2,5,10,0.4991722222222223,0.22495,-0.4046046176938889
random_2,5,11,0.4554563752276868,0.08100737704918037,-0.3651752646206845
random_3,1,0,2.299266666666666,0.1961,-29.188998740610685
random_3,1,1,2.4017555555555554,0.0645,-57.90756153011531
random_3,1,2,0.5761,0.0645,-0.49133631960519386
random_3,1,3,0.5205777777777778,0.0645,-0.3700365038209281
random_3,1,4,0.6840222222222222,0.1961,-0.7271148088412507
random_3,1,5,0.5205777777777778,0.0645,-0.3700365038209281
random_3,1,6,0.5205777777777778,0.0645,-0.3700365038209281
random_3,1,7,1.3171000000000002,0.0645,-9.07087690218662
random_3,1,8,1.3307888888888888,0.0645,-10.990482291901243
random_3,1,9,0.5205777777777778,0.0645,-0.3700365038209281
random_3,1,10,0.7974555555555556,0.0645,-2.1847273840659494
random_3,1,11,0.5205777777777778,0.0645,-0.3700365038209281
random_3,2,0,1.5197794871794872,0.1961,-15.317176150995305
random_3,2,1,3.3076794871794872,0.0645,-118.45400233536675
random_3,2,2,0.6164675213675214,0.41565,-0.49358666888445635
random_3,2,3,0.5205777777777778,0.0645,-0.3700365038209281
random_3,2,4,0.5746205128205129,0.1961,-0.41544710729567047
random_3,2,5,0.5205777777777778,0.0645,-0.3700365038209281
random_3,2,6,0.5205777777777778,0.0645,-0.3700365038209281
random_3,2,7,1.1803478632478632,0.0645,-6.468286987127517
random_3,2,8,1.1530111111111112,0.0645,-7.278445764001672
random_3,2,9,0.5205777777777778,0.0645,-0.3700365038209281
random_3,2,10,1.63164358974359,0.0645,-19.041988980550666
random_3,2,11,0.5205777777777778,0.0645,-0.3700365038209281
random_3,3,0,1.6530444444444443,0.27445,-18.013515872701017
random_3,3,1,3.3049444444444442,0.0645,-118.03716919180603
random_3,3,2,0.6684333333333333,0.41565,-0.6936013956589897
random_3,3,3,0.5205777777777778,0.0645,-0.3700365038209281
random_3,3,4,0.5418,0.1961,-0.3793093734686346
random_3,3,5,0.5205777777777778,0.0645,-0.3700365038209281
random_3,3,6,0.5205777777777778,0.0645,-0.3700365038209281
random_3,3,7,1.245988888888889,0.0645,-7.660167569719249
random_3,3,8,0.9752333333333334,0.0645,-4.343194128056574
random_3,3,9,0.5205777777777778,0.0645,-0.3700365038209281
random_3,3,10,1.7219,0.0645,-21.89124547296006
random_3,3,11,0.5205777777777778,0.0645,-0.3700365038209281
random_3,4,0,1.8637761517615177,0.3446939024390244,-25.428956972814753
random_3,4,1,3.33269512195122,0.0645,-120.63272741684679
random_3,4,2,0.6614956639566396,0.3257439024390244,-0.7881387480740845
random_3,4,3,0.5205777777777778,0.0645,-0.3700365038209281
random_3,4,4,0.5279246612466124,0.1306219512195122,-0.37199391741596877
random_3,4,5,0.5205777777777778,0.0645,-0.3700365038209281
random_3,4,6,0.5205777777777778,0.0645,-0.3700365038209281
random_3,4,7,1.295419783197832,0.0645,-8.627612831805758
random_3,4,8,0.979569376693767,0.0645,-4.405543693335967
random_3,4,9,0.5205777777777778,0.0645,-0.3700365038209281
random_3,4,10,2.2153417344173443,0.0645,-41.007929031517165
random_3,4,11,0.5205777777777778,0.0645,-0.3700365038209281
random_3,5,0,2.0190918032786884,0.34789262295081963,-29.11435740519024
random_3,5,1,3.4489153005464477,0.0645,-124.61947825434885
random_3,5,2,0.5267939890710382,0.1973426229508196,-0.3488312587333222
random_3,5,3,0.5205777777777778,0.0645,-0.3700365038209281
random_3,5,4,0.5208163934426229,0.0666475409836065,-0.37007923377458884
random_3,5,5,0.528927504553734,0.10314754098360651,-0.37153172601620477
random_3,5,6,0.5208163934426229,0.0666475409836065,-0.37007923377458884
random_3,5,7,1.1422366120218579,0.0645,-5.82487203052065
random_3,5,8,0.8964546448087432,0.1961,-3.0515690326149647
random_3,5,9,0.5205777777777778,0.0645,-0.3700365038209281
random_3,5,10,2.187619489981785,0.0645,-39.775266671905335
random_3,5,11,0.5205777777777778,0.0645,-0.3700365038209281
random_4,1,0,0.5925,0.0565,-0.3046078854271077
random_4,1,1,0.5925,0.0565,-0.3046078854271077
random_4,1,2,0.5925,0.0565,-0.3046078854271077
random_4,1,3,0.5925,0.0565,-0.3046078854271077
random_4,1,4,0.5925,0.0565,-0.3046078854271077
random_4,1,5,0.5925,0.0565,-0.3046078854271077
random_4,1,6,0.5925,0.0565,-0.3046078854271077
random_4,1,7,0.5925,0.0565,-0.3046078854271077
random_4,1,8,0.5925,0.0565,-0.3046078854271077
random_4,1,9,0.5925,0.0565,-0.3046078854271077
random_4,1,10,0.7031111111111112,0.0565,-0.45816967689635946
random_4,1,11,0.5925,0.0565,-0.3046078854271077
random_4,2,0,0.5925,0.0565,-0.3046078854271077
random_4,2,1,0.5925,0.0565,-0.3046078854271077
random_4,2,2,0.5925,0.0565,-0.3046078854271077
random_4,2,3,0.3189957264957265,0.0565,0.6886251395136025
random_4,2,4,0.5925,0.0565,-0.3046078854271077
random_4,2,5,0.5937094017094018,0.0565,-0.3052536610473664
random_4,2,6,0.5925,0.0565,-0.3046078854271077
random_4,2,7,0.5925,0.0565,-0.3046078854271077
random_4,2,8,0.5925,0.0565,-0.3046078854271077
random_4,2,9,0.5925,0.0565,-0.3046078854271077
random_4,2,10,0.5937094017094018,0.0565,-0.3052536610473664
random_4,2,11,0.5925,0.0565,-0.3046078854271077
random_4,3,0,0.5925,0.0565,-0.3046078854271077
random_4,3,1,0.5925,0.0565,-0.3046078854271077
random_4,3,2,0.5925,0.0565,-0.3046078854271077
random_4,3,3,0.3436111111111111,0.0565,0.6470772413487611
random_4,3,4,0.5925,0.0565,-0.3046078854271077
random_4,3,5,0.560888888888889,0.0191,-0.29583072225824725
random_4,3,6,0.5925,0.0565,-0.3046078854271077
random_4,3,7,0.5925,0.0565,-0.3046078854271077
random_4,3,8,0.5925,0.0565,-0.3046078854271077
random_4,3,9,0.5925,0.0565,-0.3046078854271077
random_4,3,10,0.5964444444444444,0.0565,-0.30679831982074246
random_4,3,11,0.5925,0.0565,-0.3046078854271077
random_4,4,0,0.5925,0.0565,-0.3046078854271077
random_4,4,1,0.5925,0.0565,-0.3046078854271077
random_4,4,2,0.5925,0.0565,-0.3046078854271077
random_4,4,3,0.252479674796748,0.0565,0.7554025717560406
random_4,4,4,0.5925,0.0565,-0.3046078854271077
random_4,4,5,0.5903739837398374,0.0565,-0.3035280479424156
random_4,4,6,0.5925,0.0565,-0.3046078854271077
random_4,4,7,0.5057791327913279,0.0565,0.13681334425320746
random_4,4,8,0.5925,0.0565,-0.3046078854271077
random_4,4,9,0.5925,0.0565,-0.3046078854271077
random_4,4,10,0.5903739837398374,0.0565,-0.3035280479424156
random_4,4,11,0.5925,0.0565,-0.3046078854271077
random_4,5,0,0.5925,0.0565,-0.3046078854271077
random_4,5,1,0.5925,0.0565,-0.3046078854271077
random_4,5,2,0.5925,0.0565,-0.3046078854271077
random_4,5,3,0.22936211293260472,0.04471147540983589,0.7599141405497946
random_4,5,4,0.5925,0.0565,-0.3046078854271077
random_4,5,5,0.637664480874317,0.06035,-0.33353311337708114
random_4,5,6,0.6028275045537341,0.06035,-0.30578310760774885
random_4,5,7,0.5499449908925319,0.0565,0.0014466428853284752
random_4,5,8,0.5925,0.0565,-0.3046078854271077
random_4,5,9,0.6028275045537341,0.06035,-0.30578310760774885
random_4,5,10,0.5813544626593807,0.06035,-0.14779693565061036
random_4,5,11,0.5633561020036431,0.0565,-0.14315742180682256
random_5,1,0,2.5569777777777776,0.7719,-33.4031833209825
random_5,1,1,0.6728000000000001,0.06785,-0.48044675514122126
random_5,1,2,0.8417111111111111,0.06785,-1.6278378944568765
random_5,1,3,1.9068666666666667,0.06785,-14.196156044624155
random_5,1,4,0.6728000000000001,0.06785,-0.48044675514122126
random_5,1,5,0.6790444444444446,0.06785,-0.49105117923501473
random_5,1,6,0.6728000000000001,0.06785,-0.48044675514122126
random_5,1,7,0.6639666666666666,0.26365,-0.14848299520864106
random_5,1,8,0.4950222222222222,0.06785,0.13842139686632526
random_5,1,9,0.8449111111111112,0.26365,-0.7727288355911541
random_5,1,10,0.6728000000000001,0.06785,-0.48044675514122126
random_5,1,11,1.0257333333333334,0.06785,-2.2785193187458037
random_5,2,0,1.70911452991453,0.5977346153846155,-12.882937495016597
random_5,2,1,0.6728000000000001,0.06785,-0.48044675514122126
